það,third,singular,neuter,nominative
hann,third,singular,masculine,nominative
hún,third,singular,feminine,nominative
þau,third,plural,neuter,nominative
þeir,third,plural,masculine,nominative
þær,third,plural,feminine,nominative
þú,second,singular,gender,nominative
þið,second,plural,gender,nominative
ég,first,singular,gender,nominative
við,first,plural,gender,nominative
þess,third,singular,neuter,genitive
hans,third,singular,masculine,genitive
hennar,third,singular,feminine,genitive
þeirra,third,plural,gender,genitive
þín,second,singular,gender,genitive
ykkar,second,plural,gender,genitive
mín,first,singular,gender,genitive
okkar,first,plural,gender,genitive
það,third,singular,neuter,accusative
hann,third,singular,masculine,accusative
hana,third,singular,feminine,accusative
þau,third,plural,neuter,accusative
þá,third,plural,masculine,accusative
þær,third,plural,feminine,accusative
þig,second,singular,gender,accusative
ykkur,second,plural,gender,accusative
mig,first,singular,gender,accusative
okkur,first,plural,gender,accusative
því,third,singular,neuter,dative
honum,third,singular,masculine,dative
henni,third,singular,feminine,dative
þeim,third,plural,gender,dative
þér,second,singular,gender,dative
ykkur,second,plural,gender,dative
mér,first,singular,gender,dative
okkur,first,plural,gender,dative
sig,person,number,gender,accusative,reflexive
sér,person,number,gender,dative,reflexive
sín,person,number,gender,genitive,reflexive
