они,third,plural,nominative
они,third,singular,nominative
оно,third,singular,neuter,nominative
он,third,singular,masculine,nominative
она,third,singular,feminine,nominative
вы,second,plural,nominative
ты,second,singular,nominative
мы,first,plural,nominative
я,first,singular,nominative
их,third,plural,genitive
них,third,plural,genitive,adposition
их,third,singular,genitive
них,third,singular,genitive,adposition
его,third,singular,masculine,genitive
него,third,singular,masculine,genitive,adposition
его,third,singular,neuter,genitive
него,third,singular,neuter,genitive,adposition
её,third,singular,feminine,genitive
неё,third,singular,feminine,genitive,adposition
вас,second,plural,genitive
тебя,second,singular,genitive
нас,first,plural,genitive
меня,first,singular,genitive
им,third,plural,dative
ним,third,plural,dative,adposition
им,third,singular,dative
ним,third,singular,dative,adposition
ему,third,singular,masculine,dative
нему,third,singular,masculine,dative,adposition
ему,third,singular,neuter,dative
нему,third,singular,neuter,dative,adposition
ей,third,singular,feminine,dative
ней,third,singular,feminine,dative,adposition
вам,second,plural,dative
тебе,second,singular,dative
нам,first,plural,dative
мне,first,singular,dative
их,third,plural,accusative
них,third,plural,accusative,adposition
их,third,singular,accusative
них,third,singular,accusative,adposition
его,third,singular,masculine,accusative
него,third,singular,masculine,accusative,adposition
его,third,singular,neuter,accusative
него,third,singular,neuter,accusative,adposition
её,third,singular,feminine,accusative
неё,third,singular,feminine,accusative,adposition
вас,second,plural,accusative
тебя,second,singular,accusative
нас,first,plural,accusative
меня,first,singular,accusative
ими,third,plural,instrumental
ними,third,plural,instrumental,adposition
ими,third,singular,instrumental
ними,third,singular,instrumental,adposition
им,third,singular,masculine,instrumental
ним,third,singular,masculine,instrumental,adposition
им,third,singular,neuter,instrumental
ним,third,singular,neuter,instrumental,adposition
ей,third,singular,feminine,instrumental
ней,third,singular,feminine,instrumental,adposition
вами,second,plural,instrumental
тобой,second,singular,instrumental
нами,first,plural,instrumental
мной,first,singular,instrumental
них,third,plural,prepositional
них,third,singular,prepositional
нём,third,singular,masculine,prepositional
нём,third,singular,neuter,prepositional
ней,third,singular,feminine,prepositional
вас,second,plural,prepositional
тебе,second,singular,prepositional
нас,first,plural,prepositional
мне,first,singular,prepositional
их,third,plural,case,possessive
его,third,singular,case,possessive,dependency=neuter
его,third,singular,case,possessive,dependency=masculine
её,third,singular,case,possessive,dependency=feminine
ваше,second,plural,genitive,possessive,dependency=nominative,dependency=singular,dependency=neuter
ваш,second,plural,genitive,possessive,dependency=nominative,dependency=singular,dependency=masculine
ваша,second,plural,genitive,possessive,dependency=nominative,dependency=singular,dependency=feminine
ваши,second,plural,genitive,possessive,dependency=nominative,dependency=plural
твоё,second,singular,genitive,possessive,dependency=nominative,dependency=singular,dependency=neuter
твой,second,singular,genitive,possessive,dependency=nominative,dependency=singular,dependency=masculine
твоя,second,singular,genitive,possessive,dependency=nominative,dependency=singular,dependency=feminine
твои,second,singular,genitive,possessive,dependency=nominative,dependency=plural
наше,first,plural,genitive,possessive,dependency=nominative,dependency=singular,dependency=neuter
наш,first,plural,genitive,possessive,dependency=nominative,dependency=singular,dependency=masculine
наша,first,plural,genitive,possessive,dependency=nominative,dependency=singular,dependency=feminine
наши,first,plural,genitive,possessive,dependency=nominative,dependency=plural
моё,first,singular,genitive,possessive,dependency=nominative,dependency=singular,dependency=neuter
мой,first,singular,genitive,possessive,dependency=nominative,dependency=singular,dependency=masculine
моя,first,singular,genitive,possessive,dependency=nominative,dependency=singular,dependency=feminine
мои,first,singular,genitive,possessive,dependency=nominative,dependency=plural
вашего,second,plural,genitive,possessive,dependency=genitive,dependency=singular,dependency=neuter
вашего,second,plural,genitive,possessive,dependency=genitive,dependency=singular,dependency=masculine
вашей,second,plural,genitive,possessive,dependency=genitive,dependency=singular,dependency=feminine
ваших,second,plural,genitive,possessive,dependency=genitive,dependency=plural
твоего,second,singular,genitive,possessive,dependency=genitive,dependency=singular,dependency=neuter
твоего,second,singular,genitive,possessive,dependency=genitive,dependency=singular,dependency=masculine
твоей,second,singular,genitive,possessive,dependency=genitive,dependency=singular,dependency=feminine
твоих,second,singular,genitive,possessive,dependency=genitive,dependency=plural
нашего,first,plural,genitive,possessive,dependency=genitive,dependency=singular,dependency=neuter
нашего,first,plural,genitive,possessive,dependency=genitive,dependency=singular,dependency=masculine
нашей,first,plural,genitive,possessive,dependency=genitive,dependency=singular,dependency=feminine
наших,first,plural,genitive,possessive,dependency=genitive,dependency=plural
моего,first,singular,genitive,possessive,dependency=genitive,dependency=singular,dependency=neuter
моего,first,singular,genitive,possessive,dependency=genitive,dependency=singular,dependency=masculine
моей,first,singular,genitive,possessive,dependency=genitive,dependency=singular,dependency=feminine
моих,first,singular,genitive,possessive,dependency=genitive,dependency=plural
вашему,second,plural,genitive,possessive,dependency=dative,dependency=singular,dependency=neuter
вашему,second,plural,genitive,possessive,dependency=dative,dependency=singular,dependency=masculine
вашей,second,plural,genitive,possessive,dependency=dative,dependency=singular,dependency=feminine
вашим,second,plural,genitive,possessive,dependency=dative,dependency=plural
твоему,second,singular,genitive,possessive,dependency=dative,dependency=singular,dependency=neuter
твоему,second,singular,genitive,possessive,dependency=dative,dependency=singular,dependency=masculine
