ସେମାନେ,third,plural,nominative
ସେ,third,singular,nominative
ତୁମେମାନେ,second,plural,nominative,informal
ଆପଣମାନେ,second,plural,nominative,formal
ତୁ,second,singular,nominative,intimate
ତୁମେ,second,singular,nominative,informal
ଆପଣ,second,singular,nominative,formal
ଆମେ,first,plural,nominative
ମୁଁ,first,singular,nominative
ସେମାନଙ୍କୁ,third,plural,dative
ତାକୁ,third,singular,dative,casual
ତାଙ୍କୁ,third,singular,dative,formal
ତୁମେମାନଙ୍କୁ,second,plural,dative,informal
ଆପଣମାନଙ୍କୁ,second,plural,dative,formal
ତୋତେ,second,singular,dative,intimate
ତୁମକୁ,second,singular,dative,informal
ଆପଣଙ୍କୁ,second,singular,dative,formal
ଆମକୁ,first,plural,dative
ମୋତେ,first,singular,dative
ସେମାନଙ୍କ,third,plural,genitive,dependent
ତା,third,singular,genitive,dependent,casual
ତାଙ୍କ,third,singular,genitive,dependent,formal
ତୁମେମାନଙ୍କ,second,plural,genitive,dependent,informal
ଆପଣମାନଙ୍କ,second,plural,genitive,dependent,formal
ତୋ,second,singular,genitive,dependent,intimate
ତୁମ,second,singular,genitive,dependent,informal
ଆପଣଙ୍କ,second,singular,genitive,dependent,formal
ଆମ,first,plural,genitive,dependent
ମୋ,first,singular,genitive,dependent
ସେମାନଙ୍କର,third,plural,genitive,independent
ତାର,third,singular,genitive,independent,casual
ତାଙ୍କର,third,singular,genitive,independent,formal
ତୁମେମାନଙ୍କର,second,plural,genitive,independent,informal
ଆପଣମାନଙ୍କର,second,plural,genitive,independent,formal
ତୋର,second,singular,genitive,independent,intimate
ତୁମର,second,singular,genitive,independent,informal
ଆପଣଙ୍କର,second,singular,genitive,independent,formal
ଆମର,first,plural,genitive,independent
ମୋର,first,singular,genitive,independent
ନିଜେ,person,number,nominative,reflexive
ନିଜକୁ,person,number,dative,reflexive
ନିଜର,person,number,genitive,reflexive
