tema,third,singular,nominative,stressed,animate
ta,third,singular,nominative,unstressed,animate
see,third,singular,nominative,emphasis,inanimate
nemad,third,plural,nominative,stressed,animate
nad,third,plural,nominative,unstressed,animate
need,third,plural,nominative,emphasis,inanimate
teie,second,singular,nominative,stressed,formal
te,second,singular,nominative,unstressed,formal
sina,second,singular,nominative,stressed,casual
sa,second,singular,nominative,unstressed,casual
teie,second,plural,nominative,stressed,register
te,second,plural,nominative,unstressed,register
mina,first,singular,nominative,stressed
ma,first,singular,nominative,unstressed
meie,first,plural,nominative,stressed
me,first,plural,nominative,unstressed
tema,third,singular,genitive,emphasis,animate
selle,third,singular,genitive,emphasis,inanimate
nende,third,plural,genitive,emphasis,animacy
teie,second,singular,genitive,emphasis,formal
sina,second,singular,genitive,emphasis,casual
teie,second,plural,genitive,emphasis,register
minu,first,singular,genitive,stressed
mu,first,singular,genitive,unstressed
meie,first,plural,genitive,emphasis
teda,third,singular,partitive,emphasis,animate
seda,third,singular,partitive,emphasis,inanimate
neid,third,plural,partitive,emphasis,animacy
teid,second,singular,partitive,emphasis,formal
sind,second,singular,partitive,emphasis,casual
teid,second,plural,partitive,emphasis,register
mind,first,singular,partitive,emphasis
meid,first,plural,partitive,emphasis
temasse,third,singular,illative,stressed,animate
tasse,third,singular,illative,unstressed,animate
sellesse,third,singular,illative,stressed,inanimate
sesse,third,singular,illative,unstressed,inanimate
nendesse,third,plural,illative,stressed,animate
neisse,third,plural,illative,unstressed,animate
nendesse,third,plural,illative,stressed,inanimate
neisse,third,plural,illative,unstressed,inanimate
teisse,second,singular,illative,emphasis,formal
sinusse,second,singular,illative,stressed,casual
susse,second,singular,illative,unstressed,casual
teisse,second,plural,illative,emphasis,register
minusse,first,singular,illative,stressed
musse,first,singular,illative,unstressed
meisse,first,plural,illative,emphasis
temas,third,singular,inessive,stressed,animate
tas,third,singular,inessive,unstressed,animate
selles,third,singular,inessive,stressed,inanimate
ses,third,singular,inessive,unstressed,inanimate
nendes,third,plural,inessive,stressed,animacy
neis,third,plural,inessive,unstressed,animacy
teis,second,singular,inessive,emphasis,formal
sinus,second,singular,inessive,stressed,casual
sus,second,singular,inessive,unstressed,casual
teis,second,plural,inessive,emphasis,register
minus,first,singular,inessive,stressed
mus,first,singular,inessive,unstressed
meis,first,plural,inessive,emphasis
temast,third,singular,elative,stressed,animate
tast,third,singular,elative,unstressed,animate
sellest,third,singular,elative,stressed,inanimate
sest,third,singular,elative,unstressed,inanimate
nendest,third,plural,elative,stressed,animacy
neist,third,plural,elative,unstressed,animacy
teist,second,singular,elative,emphasis,formal
sinust,second,singular,elative,stressed,casual
sust,second,singular,elative,unstressed,casual
teist,second,plural,elative,emphasis,register
minust,first,singular,elative,stressed
must,first,singular,elative,unstressed
meist,first,plural,elative,emphasis
temale,third,singular,allative,stressed,animate
talle,third,singular,allative,unstressed,animate
sellele,third,singular,allative,emphasis,inanimate
nendele,third,plural,allative,stressed,animacy
neile,third,plural,allative,unstressed,animacy
teile,second,singular,allative,emphasis,formal
sinule,second,singular,allative,stressed,casual
sulle,second,singular,allative,unstressed,casual
teile,second,plural,allative,emphasis,register
minule,first,singular,allative,stressed
mulle,first,singular,allative,unstressed
meile,first,plural,allative,emphasis
temal,third,singular,adessive,stressed,animate
tal,third,singular,adessive,unstressed,animate
sellel,third,singular,adessive,stressed,inanimate
sel,third,singular,adessive,unstressed,inanimate
nendel,third,plural,adessive,stressed,animacy
neil,third,plural,adessive,unstressed,animacy
teil,second,singular,adessive,emphasis,formal
sinul,second,singular,adessive,stressed,casual
sul,second,singular,adessive,unstressed,casual
teil,second,plural,adessive,emphasis,register
minul,first,singular,adessive,stressed
mul,first,singular,adessive,unstressed
meil,first,plural,adessive,emphasis
temalt,third,singular,ablative,stressed,animate
talt,third,singular,ablative,unstressed,animate
sellelt,third,singular,ablative,stressed,inanimate
selt,third,singular,ablative,unstressed,inanimate
nendelt,third,plural,ablative,stressed,animacy
neilt,third,plural,ablative,unstressed,animacy
teilt,second,singular,ablative,emphasis,formal
sinult,second,singular,ablative,stressed,casual
sult,second,singular,ablative,unstressed,casual
emphasis,second,plural,ablative,emphasis,register
minult,first,singular,ablative,stressed
mult,first,singular,ablative,unstressed
meilt,first,plural,ablative,emphasis
temaks,third,singular,translative,emphasis,animate
selleks,third,singular,translative,stressed,inanimate
seks,third,singular,translative,unstressed,inanimate
nendeks,third,plural,translative,emphasis,animate
nendeks,third,plural,translative,stressed,inanimate
neiks,third,plural,translative,unstressed,inanimate
teieks,second,singular,translative,emphasis,formal
sinuks,second,singular,translative,stressed,casual
sa,second,singular,translative,unstressed,casual
teie,second,plural,translative,stressed,register
te,second,plural,translative,unstressed,register
minuks,first,singular,translative,emphasis
meieks,first,plural,translative,emphasis
temani,third,singular,terminative,emphasis,animate
selleni,third,singular,terminative,emphasis,inanimate
nendeni,third,plural,terminative,emphasis,animacy
teieni,second,singular,terminative,emphasis,formal
sinuni,second,singular,terminative,emphasis,casual
teieni,second,plural,terminative,emphasis,register
minuni,first,singular,terminative,emphasis
meieni,first,plural,terminative,emphasis
temana,third,singular,essive,emphasis,animate
sellena,third,singular,essive,emphasis,inanimate
nendena,third,plural,essive,emphasis,animacy
teiena,second,singular,essive,emphasis,formal
sinuna,second,singular,essive,emphasis,casual
teiena,second,plural,essive,emphasis,register
minuna,first,singular,essive,emphasis
meiena,first,plural,essive,emphasis
temata,third,singular,abessive,emphasis,animate
selleta,third,singular,abessive,emphasis,inanimate
nendeta,third,plural,abessive,emphasis,animacy
teieta,second,singular,abessive,emphasis,formal
sinuta,second,singular,abessive,emphasis,casual
teieta,second,plural,abessive,emphasis,register
minuta,first,singular,abessive,emphasis
meieta,first,plural,abessive,emphasis
temaga,third,singular,comitative,emphasis,animate
sellega,third,singular,comitative,emphasis,inanimate
nendega,third,plural,comitative,emphasis,animacy
teiega,second,singular,comitative,emphasis,formal
sinuga,second,singular,comitative,emphasis,casual
teiega,second,plural,comitative,emphasis,register
minuga,first,singular,comitative,emphasis
meiega,first,plural,comitative,emphasis
ise,person,number,nominative,reflexive,emphasis
enese,person,singular,genitive,reflexive,stressed
enda,person,singular,genitive,reflexive,unstressed
eneste,person,plural,genitive,reflexive,stressed
endi,person,plural,genitive,reflexive,unstressed
ennast,person,singular,partitive,reflexive,stressed
end,person,singular,partitive,reflexive,unstressed
endid,person,plural,partitive,reflexive,emphasis
enesesse,person,singular,illative,reflexive,stressed
endasse,person,singular,illative,reflexive,unstressed
enestesse,person,plural,illative,reflexive,stressed
endisse,person,plural,illative,reflexive,unstressed
eneses,person,singular,inessive,reflexive,stressed
endas,person,singular,inessive,reflexive,unstressed
enestes,person,plural,inessive,reflexive,stressed
endis,person,plural,inessive,reflexive,unstressed
enesest,person,singular,elative,reflexive,stressed
endast,person,singular,elative,reflexive,unstressed
enestest,person,plural,elative,reflexive,stressed
endist,person,plural,elative,reflexive,unstressed
enesele,person,singular,allative,reflexive,stressed
endale,person,singular,allative,reflexive,unstressed
enestele,person,plural,allative,reflexive,stressed
endile,person,plural,allative,reflexive,unstressed
enesel,person,singular,adessive,reflexive,stressed
endal,person,singular,adessive,reflexive,unstressed
enestel,person,plural,adessive,reflexive,stressed
endil,person,plural,adessive,reflexive,unstressed
eneselt,person,singular,ablative,reflexive,stressed
endalt,person,singular,ablative,reflexive,unstressed
enestelt,person,plural,ablative,reflexive,stressed
endilt,person,plural,ablative,reflexive,unstressed
eneseks,person,singular,translative,reflexive,stressed
endaks,person,singular,translative,reflexive,unstressed
enesteks,person,plural,translative,reflexive,stressed
endiks,person,plural,translative,reflexive,unstressed
eneseni,person,singular,terminative,reflexive,stressed
endani,person,singular,terminative,reflexive,unstressed
enesteni,person,plural,terminative,reflexive,stressed
endini,person,plural,terminative,reflexive,unstressed
enesena,person,singular,essive,reflexive,stressed
endana,person,singular,essive,reflexive,unstressed
enestena,person,plural,essive,reflexive,stressed
endina,person,plural,essive,reflexive,unstressed
eneseta,person,singular,abessive,reflexive,stressed
endata,person,singular,abessive,reflexive,unstressed
enesteta,person,plural,abessive,reflexive,stressed
endita,person,plural,abessive,reflexive,unstressed
enesega,person,singular,comitative,reflexive,stressed
endaga,person,singular,comitative,reflexive,unstressed
enestega,person,plural,comitative,reflexive,stressed
endiga,person,plural,comitative,reflexive,unstressed
