sie,third,plural,nominative
er,third,singular,masculine,nominative
sie,third,singular,feminine,nominative
es,third,singular,neuter,nominative
du,second,singular,gender,nominative
ihr,second,plural,gender,nominative
ich,first,singular,gender,nominative
wir,first,plural,gender,nominative
es,third,singular,accusative
ihn,third,singular,accusative,masculine
sie,third,singular,accusative,feminine
sie,third,plural,accusative
dich,second,singular,accusative
euch,second,plural,accusative
mich,first,singular,accusative
uns,first,plural,accusative
ihm,third,singular,dative,gender
ihr,third,singular,dative,feminine
ihnen,third,plural,dative
dir,second,singular,dative
euch,second,plural,dative
mir,first,singular,dative
uns,first,plural,dative
meine,first,singular,dependent,genitive,dependency=nominative,dependency=plural
mein,first,singular,dependent,genitive,dependency=nominative,dependency=singular,dependency=masculine
mein,first,singular,dependent,genitive,dependency=nominative,dependency=singular,dependency=neuter
meine,first,singular,dependent,genitive,dependency=nominative,dependency=singular,dependency=feminine
meine,first,singular,dependent,genitive,dependency=accusative,dependency=plural
meinen,first,singular,dependent,genitive,dependency=accusative,dependency=singular,dependency=masculine
mein,first,singular,dependent,genitive,dependency=accusative,dependency=singular,dependency=neuter
meine,first,singular,dependent,genitive,dependency=accusative,dependency=singular,dependency=feminine
meinen,first,singular,dependent,genitive,dependency=dative,dependency=plural
meinem,first,singular,dependent,genitive,dependency=dative,dependency=singular,dependency=masculine
meinem,first,singular,dependent,genitive,dependency=dative,dependency=singular,dependency=neuter
meiner,first,singular,dependent,genitive,dependency=dative,dependency=singular,dependency=feminine
meiner,first,singular,dependent,genitive,dependency=genitive,dependency=plural
meines,first,singular,dependent,genitive,dependency=genitive,dependency=singular,dependency=masculine
meines,first,singular,dependent,genitive,dependency=genitive,dependency=singular,dependency=neuter
meiner,first,singular,dependent,genitive,dependency=genitive,dependency=singular,dependency=feminine
meine,first,singular,independent,genitive,dependency=nominative,dependency=plural
meiner,first,singular,independent,genitive,dependency=nominative,dependency=singular,dependency=masculine
meins,first,singular,independent,genitive,dependency=nominative,dependency=singular,dependency=neuter
meine,first,singular,independent,genitive,dependency=nominative,dependency=singular,dependency=feminine
meine,first,singular,independent,genitive,dependency=accusative,dependency=plural
meinen,first,singular,independent,genitive,dependency=accusative,dependency=singular,dependency=masculine
meins,first,singular,independent,genitive,dependency=accusative,dependency=singular,dependency=neuter
meine,first,singular,independent,genitive,dependency=accusative,dependency=singular,dependency=feminine
meinen,first,singular,independent,genitive,dependency=dative,dependency=plural
meinem,first,singular,independent,genitive,dependency=dative,dependency=singular,dependency=masculine
meinem,first,singular,independent,genitive,dependency=dative,dependency=singular,dependency=neuter
meiner,first,singular,independent,genitive,dependency=dative,dependency=singular,dependency=feminine
meiner,first,singular,independent,genitive,dependency=genitive,dependency=plural
meines,first,singular,independent,genitive,dependency=genitive,dependency=singular,dependency=masculine
meines,first,singular,independent,genitive,dependency=genitive,dependency=singular,dependency=neuter
meiner,first,singular,independent,genitive,dependency=genitive,dependency=singular,dependency=feminine
deine,second,singular,dependent,genitive,dependency=nominative,dependency=plural
dein,second,singular,dependent,genitive,dependency=nominative,dependency=singular,dependency=masculine
dein,second,singular,dependent,genitive,dependency=nominative,dependency=singular,dependency=neuter
deine,second,singular,dependent,genitive,dependency=nominative,dependency=singular,dependency=feminine
deine,second,singular,dependent,genitive,dependency=accusative,dependency=plural
deinen,second,singular,dependent,genitive,dependency=accusative,dependency=singular,dependency=masculine
dein,second,singular,dependent,genitive,dependency=accusative,dependency=singular,dependency=neuter
deine,second,singular,dependent,genitive,dependency=accusative,dependency=singular,dependency=feminine
deinen,second,singular,dependent,genitive,dependency=dative,dependency=plural
deinem,second,singular,dependent,genitive,dependency=dative,dependency=singular,dependency=masculine
deinem,second,singular,dependent,genitive,dependency=dative,dependency=singular,dependency=neuter
deiner,second,singular,dependent,genitive,dependency=dative,dependency=singular,dependency=feminine
deiner,second,singular,dependent,genitive,dependency=genitive,dependency=plural
