hen,third,singular,gender,nominative
han,third,singular,masculine,nominative
hon,third,singular,feminine,nominative
den,third,singular,common,nominative
det,third,singular,neuter,nominative
de,third,plural,gender,nominative
du,second,singular,gender,nominative
ni,second,plural,gender,nominative
jag,first,singular,gender,nominative
vi,first,plural,gender,nominative
hen,third,singular,gender,accusative
honom,third,singular,masculine,accusative
henne,third,singular,feminine,accusative
den,third,singular,common,accusative
det,third,singular,neuter,accusative
dem,third,plural,gender,accusative
dig,second,singular,gender,accusative
er,second,plural,gender,accusative
mig,first,singular,gender,accusative
oss,first,plural,gender,accusative
hens,third,singular,gender,genitive
hans,third,singular,masculine,genitive
hennes,third,singular,feminine,genitive
dess,third,singular,common,genitive
dess,third,singular,neuter,genitive
deras,third,plural,gender,genitive
din,second,singular,gender,genitive,dependency=singular,dependency=common
ditt,second,singular,gender,genitive,dependency=singular,dependency=neuter
dina,second,singular,gender,genitive,dependency=plural
er,second,plural,gender,genitive,dependency=singular,dependency=common
ert,second,plural,gender,genitive,dependency=singular,dependency=neuter
era,second,plural,gender,genitive,dependency=plural
min,first,singular,gender,genitive,dependency=singular,dependency=common
mitt,first,singular,gender,genitive,dependency=singular,dependency=neuter
mina,first,singular,gender,genitive,dependency=plural
vår,first,plural,gender,genitive,dependency=singular,dependency=common
vårt,first,plural,gender,genitive,dependency=singular,dependency=neuter
våra,first,plural,gender,genitive,dependency=plural
sig,third,number,gender,accusative,reflexive
sin,third,number,gender,genitive,reflexive,dependency=adjective,dependency=singular,dependency=common
sitt,third,number,gender,genitive,reflexive,dependency=adjective,dependency=singular,dependency=neuter
sina,third,number,gender,genitive,reflexive,dependency=adjective,dependency=plural
dig,second,singular,gender,reflexive
er,second,plural,gender,reflexive
mig,first,singular,gender,reflexive
oss,first,plural,gender,reflexive
