те,third,plural,nominative
то,third,singular,neuter,nominative
той,third,singular,masculine,nominative
тя,third,singular,feminine,nominative
вие,second,plural,nominative
ти,second,singular,nominative
ние,first,plural,nominative
аз,first,singular,nominative
ги,third,plural,unstressed,accusative
го,third,singular,unstressed,neuter,accusative
го,third,singular,unstressed,masculine,accusative
я,third,singular,unstressed,feminine,accusative
ви,second,plural,unstressed,accusative
те,second,singular,unstressed,accusative
ни,first,plural,unstressed,accusative
ме,first,singular,unstressed,accusative
тях,third,plural,stressed,accusative
него,third,singular,stressed,neuter,accusative
него,third,singular,stressed,masculine,accusative
нея,third,singular,stressed,feminine,accusative
вас,second,plural,stressed,accusative
тебе,second,singular,stressed,accusative
нас,first,plural,stressed,accusative
мене,first,singular,stressed,accusative
им,third,plural,unstressed,dative
го,third,singular,unstressed,neuter,dative
му,third,singular,unstressed,masculine,dative
ѝ,third,singular,unstressed,feminine,dative
ви,second,plural,unstressed,dative
ти,second,singular,unstressed,dative
ни,first,plural,unstressed,dative
ми,first,singular,unstressed,dative
на тях,third,plural,stressed,dative
на него,third,singular,stressed,neuter,dative
на него,third,singular,stressed,masculine,dative
на нея,third,singular,stressed,feminine,dative
на вас,second,plural,stressed,dative
на тебе,second,singular,stressed,dative
на нас,first,plural,stressed,dative
на мене,first,singular,stressed,dative
им,third,plural,unstressed,genitive
му,third,singular,unstressed,neuter,genitive
му,third,singular,unstressed,masculine,genitive
ѝ,third,singular,unstressed,feminine,genitive
тяхно,third,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=neuter
негово,third,singular,stressed,neuter,genitive,dependency=singular,dependency=indefinite,dependency=neuter
негово,third,singular,stressed,masculine,genitive,dependency=singular,dependency=indefinite,dependency=neuter
нейно,third,singular,stressed,feminine,genitive,dependency=singular,dependency=indefinite,dependency=neuter
тяхното,third,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=neuter
неговото,third,singular,stressed,neuter,genitive,dependency=singular,dependency=definite,dependency=neuter
неговото,third,singular,stressed,masculine,genitive,dependency=singular,dependency=definite,dependency=neuter
нейното,third,singular,stressed,feminine,genitive,dependency=singular,dependency=definite,dependency=neuter
техен,third,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=masculine
негов,third,singular,stressed,neuter,genitive,dependency=singular,dependency=indefinite,dependency=masculine
негов,third,singular,stressed,masculine,genitive,dependency=singular,dependency=indefinite,dependency=masculine
неин,third,singular,stressed,feminine,genitive,dependency=singular,dependency=indefinite,dependency=masculine
техния,third,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=masculine
неговия,third,singular,stressed,neuter,genitive,dependency=singular,dependency=definite,dependency=masculine
неговия,third,singular,stressed,masculine,genitive,dependency=singular,dependency=definite,dependency=masculine
нейния,third,singular,stressed,feminine,genitive,dependency=singular,dependency=definite,dependency=masculine
тяхна,third,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=feminine
негова,third,singular,stressed,neuter,genitive,dependency=singular,dependency=indefinite,dependency=feminine
негова,third,singular,stressed,masculine,genitive,dependency=singular,dependency=indefinite,dependency=feminine
нейна,third,singular,stressed,feminine,genitive,dependency=singular,dependency=indefinite,dependency=feminine
тяхната,third,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=feminine
неговата,third,singular,stressed,neuter,genitive,dependency=singular,dependency=definite,dependency=feminine
неговата,third,singular,stressed,masculine,genitive,dependency=singular,dependency=definite,dependency=feminine
нейната,third,singular,stressed,feminine,genitive,dependency=singular,dependency=definite,dependency=feminine
техни,third,plural,stressed,genitive,dependency=plural,dependency=indefinite
негови,third,singular,stressed,neuter,genitive,dependency=plural,dependency=indefinite
негови,third,singular,stressed,masculine,genitive,dependency=plural,dependency=indefinite
нейни,third,singular,stressed,feminine,genitive,dependency=plural,dependency=indefinite
техните,third,plural,stressed,genitive,dependency=plural,dependency=definite
неговите,third,singular,stressed,neuter,genitive,dependency=plural,dependency=definite
неговите,third,singular,stressed,masculine,genitive,dependency=plural,dependency=definite
нейните,third,singular,stressed,feminine,genitive,dependency=plural,dependency=definite
ви,second,plural,unstressed,genitive
ти,second,singular,unstressed,gender,genitive
ваше,second,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=neuter
твое,second,singular,stressed,gender,genitive,dependency=singular,dependency=indefinite,dependency=neuter
вашето,second,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=neuter
твоето,second,singular,stressed,gender,genitive,dependency=singular,dependency=definite,dependency=neuter
ваш,second,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=masculine
твой,second,singular,stressed,gender,genitive,dependency=singular,dependency=indefinite,dependency=masculine
вашия,second,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=masculine
твоя,second,singular,stressed,gender,genitive,dependency=singular,dependency=definite,dependency=masculine
ваша,second,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=feminine
твоя,second,singular,stressed,gender,genitive,dependency=singular,dependency=indefinite,dependency=feminine
вашата,second,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=feminine
твоята,second,singular,stressed,gender,genitive,dependency=singular,dependency=definite,dependency=feminine
ваши,second,plural,stressed,genitive,dependency=plural,dependency=indefinite
твои,second,singular,stressed,gender,genitive,dependency=plural,dependency=indefinite
вашите,second,plural,stressed,genitive,dependency=plural,dependency=definite
твоите,second,singular,stressed,gender,genitive,dependency=plural,dependency=definite
ни,first,plural,unstressed,genitive
ми,first,singular,unstressed,gender,genitive
наше,first,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=neuter
мое,first,singular,stressed,gender,genitive,dependency=singular,dependency=indefinite,dependency=neuter
нашето,first,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=neuter
моето,first,singular,stressed,gender,genitive,dependency=singular,dependency=definite,dependency=neuter
наш,first,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=masculine
мой,first,singular,stressed,gender,genitive,dependency=singular,dependency=indefinite,dependency=masculine
нашия,first,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=masculine
моя,first,singular,stressed,gender,genitive,dependency=singular,dependency=definite,dependency=masculine
наша,first,plural,stressed,genitive,dependency=singular,dependency=indefinite,dependency=feminine
моя,first,singular,stressed,gender,genitive,dependency=singular,dependency=indefinite,dependency=feminine
нашата,first,plural,stressed,genitive,dependency=singular,dependency=definite,dependency=feminine
моята,first,singular,stressed,gender,genitive,dependency=singular,dependency=definite,dependency=feminine
наши,first,plural,stressed,genitive,dependency=plural,dependency=indefinite
мои,first,singular,stressed,gender,genitive,dependency=plural,dependency=indefinite
нашите,first,plural,stressed,genitive,dependency=plural,dependency=definite
моите,first,singular,stressed,gender,genitive,dependency=plural,dependency=definite
себе си,person,stressed,accusative,reflexive
се,person,unstressed,accusative,reflexive
на себе си,person,stressed,dative,reflexive
си,person,unstressed,dative,reflexive
си,person,unstressed,genitive,reflexive
свое,person,stressed,genitive,reflexive,dependency=singular,dependency=indefinite,dependency=neuter
своето,person,stressed,genitive,reflexive,dependency=singular,dependency=definite,dependency=neuter
свой,person,stressed,genitive,reflexive,dependency=singular,dependency=indefinite,dependency=masculine
своя,person,stressed,genitive,reflexive,dependency=singular,dependency=definite,dependency=masculine
своя,person,stressed,genitive,reflexive,dependency=singular,dependency=indefinite,dependency=feminine
своята,person,stressed,genitive,reflexive,dependency=singular,dependency=definite,dependency=feminine
свои,person,stressed,genitive,reflexive,dependency=plural,dependency=indefinite
своите,person,stressed,genitive,reflexive,dependency=plural,dependency=definite
