mereka,third,plural,nominative
beliau,third,singular,formal,nominative
dia,third,singular,casual,nominative
kalian,second,plural,nominative
anda,second,singular,formal,nominative
kamu,second,singular,casual,nominative
kami,first,plural,exclusive,nominative
kita,first,plural,inclusive,nominative
saya,first,singular,formal,nominative
aku,first,singular,casual,nominative
nya,third,number,genitive
mu,second,number,genitive
ku,first,number,genitive
