кћи:nom:sg	кћи
кћи:gen:sg	кћери
кћи:dat:sg	кћери
кћи:acc:sg	кћер
кћи:voc:sg	кћери
кћи:ins:sg	кћери
кћи:loc:sg	кћери
кћи:nom:pl	кћери
кћи:gen:pl	кћери
кћи:dat:pl	кћерима
кћи:acc:pl	кћери
кћи:voc:pl	кћери
кћи:ins:pl	кћерима
кћи:loc:pl	кћерима
мати:nom:sg	мати
мати:gen:sg	матере
мати:dat:sg	матери
мати:acc:sg	матер
мати:voc:sg	мати
мати:ins:sg	матером
мати:loc:sg	матери
мати:nom:pl	матере
мати:gen:pl	матера
мати:dat:pl	матерама
мати:acc:pl	матере
мати:voc:pl	матере
мати:ins:pl	матерама
мати:loc:pl	матерама
мама:nom:sg	мама
мама:gen:sg	маме
мама:dat:sg	мами
мама:acc:sg	маму
мама:voc:sg	мама
мама:ins:sg	мамом
мама:loc:sg	мами
мама:nom:pl	маме
мама:gen:pl	мама
мама:dat:pl	мамама
мама:acc:pl	маме
мама:voc:pl	маме
мама:ins:pl	мамама
мама:loc:pl	мамама
Ана:nom:sg	Ана
Ана:gen:sg	Ане
Ана:dat:sg	Ани
Ана:acc:sg	Ану
Ана:voc:sg	Ана
Ана:ins:sg	Аном
Ана:loc:sg	Ани
Ана:nom:pl	Ане
Ана:gen:pl	Ана
Ана:dat:pl	Анама
Ана:acc:pl	Ане
Ана:voc:pl	Ане
Ана:ins:pl	Анама
Ана:loc:pl	Анама
Италија:nom:sg	Италија
Италија:gen:sg	Италије
Италија:dat:sg	Италији
Италија:acc:sg	Италију
Италија:voc:sg	Италијо
Италија:ins:sg	Италијом
Италија:loc:sg	Италији
Италија:nom:pl	Италије
Италија:gen:pl	Италија
Италија:dat:pl	Италијама
Италија:acc:pl	Италије
Италија:voc:pl	Италије
Италија:ins:pl	Италијама
Италија:loc:pl	Италијама
рука:nom:sg	рука
рука:gen:sg	руке
рука:dat:sg	руци
рука:acc:sg	руку
рука:voc:sg	руко
рука:ins:sg	руком
рука:loc:sg	руци
рука:nom:pl	руке
рука:gen:pl	руку
рука:dat:pl	рукама
рука:acc:pl	руке
рука:voc:pl	руке
рука:ins:pl	рукама
рука:loc:pl	рукама
река:nom:sg	река
река:gen:sg	реке
река:dat:sg	реци
река:acc:sg	реку
река:voc:sg	реко
река:ins:sg	реком
река:loc:sg	реци
река:nom:pl	реке
река:gen:pl	реку
река:dat:pl	рекама
река:acc:pl	реке
река:voc:pl	реке
река:ins:pl	рекама
река:loc:pl	рекама
слуга:nom:sg	слуга
слуга:gen:sg	слуге
слуга:dat:sg	слуги
