ол,third,singular,nominative
олар,third,plural,nominative
сен,second,singular,nominative,casual
сіз,second,singular,nominative,formal
сендер,second,plural,nominative,casual
сіздер,second,plural,nominative,formal
мен,first,singular,nominative
біз,first,plural,nominative
оның,third,singular,genitive
олардың,third,plural,genitive
сенің,second,singular,genitive,casual
сіздің,second,singular,genitive,formal
сендердің,second,plural,genitive,casual
сіздердің,second,plural,genitive,formal
менің,first,singular,genitive
біздің,first,plural,genitive
оған,third,singular,dative
оларға,third,plural,dative
саған,second,singular,dative,casual
сізге,second,singular,dative,formal
сендерге,second,plural,dative,casual
сіздерге,second,plural,dative,formal
маған,first,singular,dative
бізге,first,plural,dative
оны,third,singular,accusative
оларды,third,plural,accusative
сені,second,singular,accusative,casual
сізді,second,singular,accusative,formal
сендерді,second,plural,accusative,casual
сіздерді,second,plural,accusative,formal
мені,first,singular,accusative
бізді,first,plural,accusative
онда,third,singular,locative
оларда,third,plural,locative
сенде,second,singular,locative,casual
сізде,second,singular,locative,formal
сендерде,second,plural,locative,casual
сіздерде,second,plural,locative,formal
менде,first,singular,locative
бізде,first,plural,locative
одан,third,singular,ablative
олардан,third,plural,ablative
сенен,second,singular,ablative,casual
сізден,second,singular,ablative,formal
сендерден,second,plural,ablative,casual
сіздерден,second,plural,ablative,formal
менен,first,singular,ablative
бізден,first,plural,ablative
онымен,third,singular,instrumental
олармен,third,plural,instrumental
сенімен,second,singular,instrumental,casual
сізбен,second,singular,instrumental,formal
сендермен,second,plural,instrumental,casual
сіздермен,second,plural,instrumental,formal
менімен,first,singular,instrumental
бізбен,first,plural,instrumental
өзі,third,singular,nominative,reflexive
өздері,third,plural,nominative,reflexive
өзің,second,singular,nominative,reflexive,dependency=singular
өзіңіз,second,singular,nominative,reflexive,dependency=plural
өздерің,second,plural,nominative,reflexive,dependency=singular
өздеріңіз,second,plural,nominative,reflexive,dependency=plural
өзім,first,singular,nominative,reflexive
өзіміз,first,plural,nominative,reflexive
өзінің,third,singular,genitive,reflexive
өздерінің,third,plural,genitive,reflexive
өзіңнің,second,singular,genitive,reflexive,dependency=singular
өзіңіздің,second,singular,genitive,reflexive,dependency=plural
өздеріңнің,second,plural,genitive,reflexive,dependency=singular
өздеріңіздің,second,plural,genitive,reflexive,dependency=plural
өзімнің,first,singular,genitive,reflexive
өзіміздің,first,plural,genitive,reflexive
өзіне,third,singular,dative,reflexive
өздеріне,third,plural,dative,reflexive
өзіңе,second,singular,dative,reflexive,dependency=singular
өзіңізге,second,singular,dative,reflexive,dependency=plural
өздеріңе,second,plural,dative,reflexive,dependency=singular
өздеріңізге,second,plural,dative,reflexive,dependency=plural
өзіме,first,singular,dative,reflexive
өзімізге,first,plural,dative,reflexive
өзін,third,singular,accusative,reflexive
өздерін,third,plural,accusative,reflexive
өзіңді,second,singular,accusative,reflexive,dependency=singular
өзіңізді,second,singular,accusative,reflexive,dependency=plural
өздеріңді,second,plural,accusative,reflexive,dependency=singular
өздеріңізді,second,plural,accusative,reflexive,dependency=plural
өзімді,first,singular,accusative,reflexive
өзімізді,first,plural,accusative,reflexive
өзінде,third,singular,locative,reflexive
өздерінде,third,plural,locative,reflexive
өзіңде,second,singular,locative,reflexive,dependency=singular
өзіңізде,second,singular,locative,reflexive,dependency=plural
өздеріңде,second,plural,locative,reflexive,dependency=singular
өздеріңізде,second,plural,locative,reflexive,dependency=plural
өзімде,first,singular,locative,reflexive
өзімізде,first,plural,locative,reflexive
өзінен,third,singular,ablative,reflexive
өздерінен,third,plural,ablative,reflexive
өзіңнен,second,singular,ablative,reflexive,dependency=singular
өзіңізден,second,singular,ablative,reflexive,dependency=plural
өздеріңнен,second,plural,ablative,reflexive,dependency=singular
өздеріңізден,second,plural,ablative,reflexive,dependency=plural
өзімнен,first,singular,ablative,reflexive
өзімізден,first,plural,ablative,reflexive
өзімен,third,singular,instrumental,reflexive
өздерімен,third,plural,instrumental,reflexive
өзіңмен,second,singular,instrumental,reflexive,dependency=singular
өзіңізбен,second,singular,instrumental,reflexive,dependency=plural
өздеріңмен,second,plural,instrumental,reflexive,dependency=singular
өздеріңізбен,second,plural,instrumental,reflexive,dependency=plural
өзіммен,first,singular,instrumental,reflexive
өзімізбен,first,plural,instrumental,reflexive
