তারা,third,plural,nominative,casual
তাঁরা,third,plural,nominative,formal
সে,third,singular,nominative,casual
তিনি,third,singular,nominative,formal
তোরা,second,plural,nominative,intimate
তোমরা,second,plural,nominative,informal
আপনারা,second,plural,nominative,formal
তুই,second,singular,nominative,intimate
তুমি,second,singular,nominative,informal
আপনি,second,singular,nominative,formal
আমরা,first,plural,nominative
আমি,first,singular,nominative
তাদের,third,plural,accusative,casual
তাঁদের,third,plural,accusative,formal
তাকে,third,singular,accusative,casual
তাঁকে,third,singular,accusative,formal
তোদের,second,plural,accusative,intimate
তোমাদের,second,plural,accusative,informal
আপনাদের,second,plural,accusative,formal
তোকে,second,singular,accusative,intimate
তোমাকে,second,singular,accusative,informal
আপনাকে,second,singular,accusative,formal
আমাদের,first,plural,accusative
আমাকে,first,singular,accusative
তাদের,third,plural,genitive,casual
তাঁদের,third,plural,genitive,formal
তার,third,singular,genitive,casual
তাঁর,third,singular,genitive,formal
তোদের,second,plural,genitive,intimate
তোমাদের,second,plural,genitive,informal
আপনাদের,second,plural,genitive,formal
তোর,second,singular,genitive,intimate
তোমার,second,singular,genitive,informal
আপনার,second,singular,genitive,formal
আমাদের,first,plural,genitive
আমার,first,singular,genitive
নিজে,person,number,nominative,reflexive
নিজেকে,person,number,accusative,reflexive
নিজের,person,number,genitive,reflexive
