هُم,third,plural,masculine,nominative
هنَّ,third,plural,feminine,nominative
هو,third,singular,masculine,nominative
هي,third,singular,feminine,nominative
هُمَا,third,dual,nominative
أنتم,second,plural,masculine,nominative
أنتن,second,plural,feminine,nominative
أنتَ,second,singular,masculine,nominative
أنتِ,second,singular,feminine,nominative
أنتما,second,dual,nominative
نحن,first,plural,nominative
أنا,first,singular,nominative
نحن,first,dual,nominative
ـهم,third,plural,masculine,accusative
ـهنَّ,third,plural,feminine,accusative
ـه,third,singular,masculine,accusative
ـها,third,singular,feminine,accusative
ـهمَا,third,dual,accusative
كُمْ,second,plural,masculine,accusative
كُنَّ,second,plural,feminine,accusative
كَ,second,singular,masculine,accusative
كِ,second,singular,feminine,accusative
كُمَا,second,dual,accusative
ـنَا,first,plural,accusative
ـنِي,first,singular,accusative
ـنَا,first,dual,accusative
ـهم,third,plural,masculine,genitive
ـهنَّ,third,plural,feminine,genitive
ـه,third,singular,masculine,genitive
ـها,third,singular,feminine,genitive
ـهمَا,third,dual,genitive
كُمْ,second,plural,masculine,genitive
كُنَّ,second,plural,feminine,genitive
كَ,second,singular,masculine,genitive
كِ,second,singular,feminine,genitive
كُمَا,second,dual,genitive
ـنَا,first,plural,genitive
ـنِي,first,singular,genitive
ـنَا,first,dual,genitive
أنفسهمْ,third,plural,masculine,reflexive
أنفسهنَّ,third,plural,feminine,reflexive
نفسه,third,singular,masculine,reflexive
نفسها,third,singular,feminine,reflexive
أنفسهما,third,dual,reflexive
أنفسكُمْ,second,plural,masculine,reflexive
أنفسكُنَّ,second,plural,feminine,reflexive
نفسكَ,second,singular,masculine,reflexive
نفسكِ,second,singular,feminine,reflexive
أنفسهما,second,dual,reflexive
أنْفُسنا,first,plural,reflexive
نفسي,first,singular,reflexive
أنْفُسنا,first,dual,reflexive
