તેઓ,third,plural,nominative
તે,third,singular,nominative
તમે,second,number,nominative,formal
તું,second,singular,nominative,casual
અમે,first,plural,nominative,exclusive
આપણે,first,plural,nominative,inclusive
હું,first,singular,nominative
તેમને,third,plural,dative
તેને,third,singular,dative
તમને,second,number,dative,formal
તને,second,singular,dative,casual
અમને,first,plural,dative,exclusive
આપણને,first,plural,dative,inclusive
મને,first,singular,dative
તેમનો,third,plural,genitive,dependency=singular,dependency=masculine
તેમની,third,plural,genitive,dependency=singular,dependency=feminine
તેમનું,third,plural,genitive,dependency=singular,dependency=neuter
તેમના,third,plural,genitive,dependency=plural,dependency=masculine
તેમની,third,plural,genitive,dependency=plural,dependency=feminine
તેમનાં,third,plural,genitive,dependency=plural,dependency=neuter
તેનો,third,singular,genitive,dependency=singular,dependency=masculine
તેની,third,singular,genitive,dependency=singular,dependency=feminine
તેનું,third,singular,genitive,dependency=singular,dependency=neuter
તેના,third,singular,genitive,dependency=plural,dependency=masculine
તેની,third,singular,genitive,dependency=plural,dependency=feminine
તેનાં,third,singular,genitive,dependency=plural,dependency=neuter
તમારો,second,number,genitive,formal,dependency=singular,dependency=masculine
તમારી,second,number,genitive,formal,dependency=singular,dependency=feminine
તમારું,second,number,genitive,formal,dependency=singular,dependency=neuter
તમારા,second,number,genitive,formal,dependency=plural,dependency=masculine
તમારી,second,number,genitive,formal,dependency=plural,dependency=feminine
તમારાં,second,number,genitive,formal,dependency=plural,dependency=neuter
તારો,second,singular,genitive,casual,dependency=singular,dependency=masculine
તારી,second,singular,genitive,casual,dependency=singular,dependency=feminine
તારું,second,singular,genitive,casual,dependency=singular,dependency=neuter
તારા,second,singular,genitive,casual,dependency=plural,dependency=masculine
તારી,second,singular,genitive,casual,dependency=plural,dependency=feminine
તારાં,second,singular,genitive,casual,dependency=plural,dependency=neuter
અમારો,first,plural,genitive,exclusive,dependency=singular,dependency=masculine
અમારી,first,plural,genitive,exclusive,dependency=singular,dependency=feminine
અમારું,first,plural,genitive,exclusive,dependency=singular,dependency=neuter
અમારા,first,plural,genitive,exclusive,dependency=plural,dependency=masculine
અમારી,first,plural,genitive,exclusive,dependency=plural,dependency=feminine
અમારાં,first,plural,genitive,exclusive,dependency=plural,dependency=neuter
આપણો,first,plural,genitive,inclusive,dependency=singular,dependency=masculine
આપણી,first,plural,genitive,inclusive,dependency=singular,dependency=feminine
આપણું,first,plural,genitive,inclusive,dependency=singular,dependency=neuter
આપણા,first,plural,genitive,inclusive,dependency=plural,dependency=masculine
આપણી,first,plural,genitive,inclusive,dependency=plural,dependency=feminine
આપણાં,first,plural,genitive,inclusive,dependency=plural,dependency=neuter
મારો,first,singular,genitive,dependency=singular,dependency=masculine
મારી,first,singular,genitive,dependency=singular,dependency=feminine
મારું,first,singular,genitive,dependency=singular,dependency=neuter
મારા,first,singular,genitive,dependency=plural,dependency=masculine
મારી,first,singular,genitive,dependency=plural,dependency=feminine
મારાં,first,singular,genitive,dependency=plural,dependency=neuter
પોતે,person,number,nominative,reflexive
પોતાને,person,number,dative,reflexive
પોતાનો,person,number,genitive,reflexive,dependency=singular,dependency=masculine
પોતાની,person,number,genitive,reflexive,dependency=singular,dependency=feminine
પોતાનું,person,number,genitive,reflexive,dependency=singular,dependency=neuter
પોતાના,person,number,genitive,reflexive,dependency=plural,dependency=masculine
પોતાની,person,number,genitive,reflexive,dependency=plural,dependency=feminine
પોતાનાં,person,number,genitive,reflexive,dependency=plural,dependency=neuter
